ID,SPEAKER,TEXT,LING_FEATURES,t5_summary,flan_t5_summary
T211,A,It's -- I don't know if I would go that route. I would say it's a sample of what might be coverage for a policy. It's not an all inclusive document. The best place to get a hundred percent information about a policy would not be on a Certificate of Insurance.,"disfluency_correction, uncertainty_hedge, cond_real",Certificate of Insurance is a sample of what might be coverage for a policy . best place to get a hundred percent information would not be on it .,I don't know if I would go that route. I would say it's a sample of what might be coverage for a policy.
T215,Q,Is it your understanding that they are asking you to certify that they have liability coverage?,,Is it your understanding that they are asking you to certify that they have liability coverage?,Is it your understanding that they are asking you to certify that they have liability coverage? Is it true that they are asking you to certify that they have liability coverage?
T215,A,I'm sorry. Say it one more time.,uncertainty_hedge,sorry. I'm sorry. Say it one more time . cnn.com's ireport.com: share your thoughts on thursday .,I'm sorry. I'm sorry. I'm sorry. I'm sorry.
T215,Q,Is it your understanding that they are asking you to certify that they have liability insurance coverage?,,Is it your understanding that they are asking you to certify that they have liability insurance coverage?,Is it your understanding that they are asking you to certify that they have liability insurance coverage?
T215,A,When they ask me for that I'm not sure what -- I'm not sure that they're -- I don't know what always they ask for the Certificate of Insurance for and that they are specifically asking me to certify that they have liability insurance.,"uncertainty_hedge, disfluency_correction",when they ask me for that I don't know what -- I'm not sure that they're . they are specifically asking me to certify that they have liability insurance .,I don't know what always they ask for the Certificate of Insurance for and that they are specifically asking me to certify that they have liability insurance.
T215,Q,Okay. What is your understanding as to why your clients are asking you to certify that they had liability coverage?,,clients are asking you to certify that they had liability coverage . do you understand why they are asking for a certification?,Your clients are asking you to certify that they have liability coverage. Your clients are asking you to certify that they have liability coverage. Your clients are asking you to certify that they have insurance.
T215,A,I don't always know why they're asking me for that information. It could be multiple reasons I suppose.,"cond_real, uncertainty_hedge","bob greene: i don't always know why they're asking me for that information . he says it could be multiple reasons, but it's a good question to ask . greene says he's not sure why he asked for that info .",I don't always know why they're asking me for that information. It could be multiple reasons.
T356,A,I believe so. Yes,uncertainty_hedge,"adam lancaster: i believe so. Yes, yes, yes. I believe it.","Yes, I believe so, and I'm sure you'll be able to find a lawyer to help you."
T356,Q,"Okay.  And was it your impression that Dr. Zelenko understood that by taking 2.5 million out of the trust -- or actually, I should say, was it your impression that Dr. Zelenko understood that by changing the beneficiary of that two and a half million from the trust -- from a trust to Rinat, that that two and a half million would no longer be available for distribution from the trust that was in effect at the time? 
","disfluency_gen, disfluency_repeat",david rothkopf: was it your impression that Dr. Zelenko understood that by taking 2.5 million out of the trust? he says he didn't understand that two and a half million would no longer be available for distribution . he asks: did he understand that by changing beneficiary of 2.5 million from trust to Rinat?,"Okay. And was it your impression that Dr. Zelenko understood that by taking 2.5 million out of the trust -- or actually, was it your impression that Dr. Zelenko understood that by changing the beneficiary of that two and a half million from the trust -- from a trust to Rinat, that that two and a half million would no longer be available for distribution from the trust that was in effect at the time?"
T356,A,Repeat that question. Did I know he --,,"bob greene: did he know he -- and he didn't know that? he says he knew he had a problem. he asks a second question, ""do you know what he did?""","I didn't know he was going to kill me, but I knew he was going to kill me."
T356,Q," Did you get the impression that Dr. Zelenko understood that by taking the two and a half million out of the trust, that that two and a half million would no longer be available for distribution through the trusts? 
",cond_real,did you get the impression that Dr. Zelenko understood that the two and a half million would no longer be available for distribution through the trusts?,"Dr. Zelenko understood that by taking the two and a half million out of the trust, that two and a half million would no longer be available for distribution through the trusts"
T356,A,We didn't discuss that,,"we didn't discuss that with the fbi . that's a big deal for us, but we're not going to discuss it .","We didn't talk about that, we didn't talk about that, we didn't talk about that, we didn't talk about that."
T356,Q,"Okay. Did -- was it your understanding then, that Rinat would receive 3 million in trusts as is provided in the trust and then two and a half million outside of the trust? Or I should say, Rinat and her kids would receive 3 million from the trust and two and a half million outside of the trust?","disfluency_gen, cond_unreal",did you understand that Rinat would receive 3 million in trusts and then 2 and a half million outside of the trust?,Rinat and her kids would receive three million from the trust and two and a half million outside of the trust.
T356,A,I -- I didn't know that because I didn't have a copy of the amended trust.,"disfluency_repeat, uncertainty_gen",donna brazile: i didn't know that because i don't have a copy of the amended trust . she says the trust was amended to reflect a change in trust's terms .,I didn't know that because I didn't have a copy of the amended trust.
T356,Q,"Do you recall how much Rinat is supposed to -- Rinat and her kids are supposed to receive under the original trust? Not the amended one, but the original one that you had. ",disfluency_repeat,"do you remember how much Rinat is supposed to receive under the original trust? not the amended one, but the original one that you had .",Do you recall how much Rinat and her kids are supposed to receive under the original trust?
T356,A,"I think it was around -- after Sima got her money, it was like 700 thousand per person, I believe.","uncertainty_hedge, disfluency_correction","after Sima got her money, it was like 700 thousand per person, i believe .","I think it was around -- after Sima got her money, it was like 700 thousand per person, I believe"
T342,Q,"Okay. I’m going to represent to you that Mr. Knobel provided testimony at a deposition which took place, I believe, in February. Okay. Mr. Knobel testified specifically that it was not Dr. Zelenko’s intention to give Rinat another 2.5 million dollars at the expense of his six oldest children. And that the purpose of the change of beneficiary was merely to accommodate Rinat’s desire that — and Dr. Zelenko’s desire that she have money unencumbered by a trust in order to satisfy the mortgage that you werereferring to earlier. Do you disagree with Mr. Knobel's testimony ","temp, disfluency_correction, uncertainty_hedge",Knobel testified that it was not Dr. Zelenko’s intention to give Rinat another 2.5 million dollars at the expense of his six oldest children . and that the purpose of the change of beneficiary was merely to accommodate Rinat’s desire that .,"No, Mr. Knobel testified that it was not Dr. Zelenko’s intention to give Rinat another 2.5 million dollars at the expense of his six oldest children. No, Mr. Knobel testified that it was not Dr. Zelenko’s intention to give Rinat another 2.5 million dollars at the expense of his six oldest children."
T342,A,"I'm not sure what, you know, doctor -- the only thing I can say about his intent for the 2.5 was related to the mortgage and Rinat's ability to pay that off rapidly.","uncertainty_gen, disfluency_gen",the mortgage and Rinat's ability to pay that off quickly were the only things i can say about his intent for the 2.5 .,"I'm not sure what, you know, doctor -- the only thing I can say about his intent for the 2.5 was related to the mortgage and Rinat's ability to pay that off rapidly."
T342,Q,"Well, isn't his intent also manifested by the irrevocable trust that we spoke about earlier?",temp,isn't his intent manifested by the irrevocable trust that we spoke about earlier?,"Well, isn't his intent also manifested by the irrevocable trust that we spoke about earlier?"
T342,A,"I mean, again, we were, you know, going back and forth. We were -- actually, there was a -- a discussion I had with Ben Miller about, you know, allocating specific policies to different trusts at the time because of the -- of the assignment of the 2.5. So, I mean, it doesn't really -- I don't know. His intent, he was, you know, back and forth at the time, and, you know, we didn't have a lot of personal discussion with him at that point when he was in the hospital a few different places, different times. So we didn't, you know, I -- I can't really gauge his complete intent that, you know, shows some, you know, air of intent on leaving certain amounts of percentages in money. But I don't know if, you know, his intent was based upon evaluation of what was left at the time ","uncertainty_hedge, disfluency_fillers, disfluency_repeat, disfluency_gen",donna brazile: there was a discussion about allocating policies to different trusts at the time . she says it doesn't really -- I don't know if his intent was based upon evaluation of what was left . brazil: it's hard to say if he left a percentage of what he wanted to leave in money .,"Ben Miller's intent, he said, was to leave certain amounts of percentages in money. But I don't know if his intent was based upon evaluation of what was left at the time."
T342,Q,"Mr. Linder, why would your firm have drafted the -- sorry -- the Family Irrevocable Trust Agreement with Frank Zelenko as trustee, leaving the children and his parents 4.5 million dollars if that was not consistent with Dr. Zelenko's intent?","disfluency_gen, cond_unreal",bob greene: why would your firm have drafted the Family Irrevocable Trust Agreement with Frank Zelenko as trustee? he asks: why wouldn't that leave the children and his parents 4.5 million dollars if that wasn't consistent with his intent? greene asks .,"Mr. Linder, why would your firm have drafted the Family Irrevocable Trust Agreement with Frank Zelenko as trustee, leaving the children and his parents 4.5 million dollars if that was not consistent with Dr. Zelenko's intent?"
T342,A,"I mean, we were trying to avoid an estate tax issue with those trusts. That was the primary reason for drafting them. Obviously, we never got to that point.",uncertainty_hedge,bob greene: we were trying to avoid an estate tax issue with those trusts . he says that was the primary reason for drafting them; we never got to that point .,We were trying to avoid an estate tax issue with those trusts. That was the primary reason for drafting them.
T458,Q,"Now, moving down to paragraph it says here at the first sentence, ""At no point were farm losses ever discussed with the sales staff. The only statements we heard were 'We lost money.'"" So when you say ""farm losses -- at no point were farm losses ever discussed with the sales staff,"" what do you mean by that?",disfluency_correction,"""farm losses -- at no point were farm losses ever discussed with the sales staff,"" it says . the only statements we heard were 'We lost money,'""","So when you say ""farm losses -- at no point were farm losses ever discussed with the sales staff,"" what do you mean by that?"
T458,A,"I mean, we didn't have sales meetings where we discussed profit and loss ",uncertainty_hedge,"bob greene: we didn't have sales meetings where we discussed profit and loss . he says sales meetings weren't about profit or loss, but we did have a sales meeting . greene says he's not a big fan of sales meetings, but it's a good thing .","I mean, we didn't have sales meetings where we discussed profit and loss, we didn't have sales meetings where we discussed profit and loss."
T458,Q,"So when you -- what do you mean by ""discussed""? Like what -- and were there ever statements made like something to the effect that we're losing money or we doing -- we're profiting?","disfluency_gen, disfluency_repeat, disfluency_correction","bob greene: were there ever statements to the effect that we're losing money or we doing -- we are profiting? he asks: what do you mean by ""discussed""? greene says it's a good thing we don't have to worry about it .","So what do you mean by ""discussed""? ""We're losing money or we're profiting?"""
T458,A,"Not that I can recall, no.",uncertainty_gen,"not that I can recall, no . not that i can remember, but i'm not sure if that's true.","Not that I can recall, no, no, no, no, no, no, no, no."
T458,Q," Now, you -- I'm going to just skip ahead a little bit, but there was a meeting in April 2017 where -- right before you were terminated where you were told that the farm was losing money; right?","disfluency_correction, temp","the farm was terminated in a meeting in october 2017 . mike downey says he was told that farm was losing money, right? he says the farm is a good example of a farm that is profitable . upey: i'm going to skip ahead a little bit .","I'm going to just skip ahead a little bit, but there was a meeting in April 2017 where you were told that the farm was losing money."
T458,A,"It wasn't a meeting, no.",,"it wasn't a meeting, no. it was a discussion, not a conference.","It wasn't a meeting, it wasn't a meeting, it wasn't a meeting."
T458,Q,It wasn't a meeting?,,"""It wasn't a meeting?"" he asks . he says he didn't know what to expect .","""It wasn't a meeting, it wasn't a meeting, it wasn't a meeting."""
T458,A,No,,"No, it is not a resounding yes, but it is a sign of the times.",Defendant's testimony reveals that Defendant's testimony was based on the testimony of a witness who testified that Defendant's testimony was based on the testimony of a witness.
T458,Q,What -- what was it? What -- how was that conversation had?,"disfluency_repeat, disfluency_correction",what -- what was it? What -- how was that conversation had? what -- where was the conversation?,"""It's been a long time since I've had a conversation with a woman."""
T458,A,There was a phone call,,there was a phone call from the owner of the house . there was also a call from a friend who said he was going to call him .,"There was a phone call, there was a phone call, there was a phone call."
T458,Q,"Okay, so a meeting is in person?",,"bob greene: a meeting is in person . he says it's ok to meet in person, but how about a virtual meeting? greene says he'd like to meet with a person who's not a stranger .","No, it's a phone call, not a meeting in person. It's a phone call."
T458,A,If that's what you want to clarify it as,cond_unreal,if that's what you want to clarify it as you want it to be clearer .,"I'm a lawyer, I'll be able to help you. If you're a lawyer, I'll be able to help you."
T458,Q,"Well, what's your definition of a meeting?",uncertainty_hedge,meeting: what's your definition of a meeting? cnn.com's john sutter asks .,A meeting is a meeting between a person or group of people to discuss a particular issue or issue.
T458,A,Meeting would be of the staff.,cond_unreal,"meeting would be of the staff . meeting would take place on thursday, november 8 .","The meeting would be of the staff, not the plaintiffs, according to a statement from the plaintiffs."
T458,Q,So staff meaning you and the salesman and Mr. Corbett?,,staff mean you and the salesman and Mr. Corbett? So staff meaning you and salesman?,"So staff means you and the salesman and Mr. Corbett, and the salesman and Mr. Corbett, and the salesman."
T458,A,Correct,,"Correct: correct answer: yes, it is correct. Correct answer: Yes, it’s correct.",The jury ruled that the defendants did not have sufficient evidence to convict them of treason.
T458,Q,"Okay. So this call that was held in April 2017 where the farm losses were discussed, that was not a meeting because it wasn't in person?",temp,the farm losses were discussed on a phone call in april 2017 . the meeting wasn't in person . bob greene: this call was not a meeting because it was not in person?,"So this call was not a meeting because it wasn't in person, it wasn't in person."
T458,A,I don't know if that was discussed with me directly or not.,"uncertainty_hedge, cond_real",don't know if that was discussed with me directly or not . it's too early to tell if it was discussed directly with me .,I don't know if that was discussed with me directly or not. I don't know if that was discussed with me directly.
T458,Q,What do you mean you directly?,uncertainty_gen,"Was 'you directly' mean, you say . what do you mean by 'direct'?",You are a person. You are a person. You are a person. You are a person.
T458,A,Meaning the statement that the farm had losses,,meaning the statement that the farm had losses . losses were the loss of income from the farm . the loss was a result of a loss of revenue .,The judge ruled that the farm had a loss and that the farm had a loss.
T458,Q,Okay so you don't recall if Mr. Corbett made the statement the farm had losses in that April 2017 phone call?,"cond_real, temp","bob greene: you don't remember if Mr. Corbett made the statement the farm had losses in that April 2017 phone call . he says he didn't make the statement, but he did make a statement about losses . greene says that's ok, he's not sure if he made that statement .",So you don't recall if Mr. Corbett made the statement the farm had losses in that April 2017 phone call?
T458,A,"I don't -- I can't say yes or no, no ","uncertainty_hedge, disfluency_correction","bob greene: I can't say yes or no, no, i don't know if i'm right or wrong . he says he's right, but he doesn't think he can say yes, no or no . greene says if you're right, you've got a right or a wrong answer .","I don't -- I can't say yes or no, no, no, no."
T458,Q,"Okay. You say in the next sentence, ""The only statements we heard were 'We lost money.;""",,"""the only statements we heard were 'We lost money.'"" you say in the next sentence .","We lost a lot of money, and we lost a lot of money, and we lost a lot of money."
T458,A,Okay,,"Okay, okay, okay! Okay, Okay, OK, okay? Okay, Ok, okay.",I don't think I'm going to be able to do anything right now. I don't think I'll be able to.
T458,Q,"So who is ""we"" first of all?",,"so who is ""we"" first of all? who are ""we?"" ""we,"" ""us"" first?","So who is ""we"" first of all, and who is ""we"" first of all, and who is ""we?"""
T458,A,I assume that would be the farm,"uncertainty_hedge, cond_real",I assume that would be the farm where the farm is located . the farm would be a good place to start a family .,"I assume that would be the farm, I assume that would be the farm, I assume that would be the farm,"
T476,Q,But you don't recall the details of it?,,"but you don't recall the details of it? if you do, you can't remember the details .",I don't recall the details of it. I don't recall the details of it. I don't recall the details of it.
T476,A,"Not exactly, no",uncertainty_hedge,"Not exactly, no, not exactly, but it's a bit of a stretch .","No, no, no, no, no, no, no, no, no, no, no."
T476,Q,Okay. Do you recall if you told him that you disagreed with it?,,"bob greene: do you remember if you told him that you disagreed with it? greene says he agreed with it, but he didn't agree with it .",I don't recall if I told him that I disagreed with it. I don't recall if I told him that I disagreed with it.
T476,A,I would assume I would have.,"uncertainty_hedge, cond_unreal",bob greene: I would assume I would have . he says it's a good bet.,I would assume I would have had the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity to have the opportunity
T476,Q,Were there any other conversations that you had with Mr. Corbett through the course of your employment other than this conversation about the discontinuing your salary about your compensation?,,were there any other conversations that you had with Mr. Corbett through the course of your employment other than this conversation about the discontinuing your salary about your compensation?,Mr. Corbett told me that he had a conversation with me about the termination of my salary about my compensation.
T476,A,No.,,n îüü  â âî .,"(iii) The jury convicted the defendants of trespassing and obstruction of justice, obstruction of justice, and obstruction of justice."
T476,Q,"So when you testified earlier that his mind was made up and it -- and it -- his mind was already made up about something and that you've experienced it on other occasions, when were those other occasions?","disfluency_correction, temp","bob greene: he testified earlier that his mind was made up about something . he says you've experienced it on other occasions, but when were those other occasions? greene says he didn't know he was making up his mind about something, but he did .","So when you testified earlier that his mind was made up and it -- and it -- his mind was already made up about something and that you've experienced it on other occasions, when were those other occasions?"
T476,A,I can't give you exact.,uncertainty_hedge,I can't give you exact information . i'm not sure if it's because i haven't seen it before .,I can't give you exact. I can't give you exact. I can't give you exact. I can't give you exact.
T476,Q,But there were other occasions?,,"Aber es hat auch andere Gelegenheiten gegeben, e.g. when i've been in a restaurant?","During the trial, he said, ""I'm not sure if I'm going to be able to get a fair trial. I'm not sure I'm going to get a fair trial."""
T476,A,"I'm sure if I formed that opinion I would guess there was other occasions, yes.","uncertainty_hedge, cond_unreal, cond_real","bob greene: if i formed that opinion I would guess there was other occasions . he says i'm sure if that was the case, there would have been other occasions, yes.","I'm sure if I formed that opinion I would guess there was other occasions, yes."
T476,Q,But you don't remember?,,"But you don't remember? a few years ago, you were able to get a job at a telecommunications company .",But you don't remember? :-) :-) :-) :-)
T476,A,"Recall them, no. ",,": recall them, no. : Recall them . ; recollect them ; no.","Recall them, don't recall them, don't recall them."
T476,Q,"None of these would have had -- conversations would have happened by email, would they have?","cond_unreal, disfluency_correction","conversations would have happened by email, wouldn't they have? nicolaus mills: none of these would have had -- conversations would've happened by e-mail, would they?","No, I don't know. I don't know. I don't know. I don't know. I don't know. I don't know."
T476,A,I have no -- I doubt it.,,bob greene: i have no -- I doubt it . he says he has no -- he doubts it.,I don't have a -- I don't have a -- I doubt it.
T476,Q,What about text messages?,,text messages are a big part of our lives . what about text messages and what about phone calls?,Text messages are a form of communication between a person and a computer. They are a form of communication between a person and a computer. Text messages are a form of communication between a person and a computer.
T476,A,I don't believe he's ever texted me.,uncertainty_hedge,don't believe he's ever texted me . he doesn't know if he texted him .,I don't believe he's ever texted me a text or a call.
T476,Q,"Okay. All right. So next there’s a — the next sentence says, “He also said that due to the losses KCF had, the three of us would pay for the new salesperson by taking a fourth percentage or a quarter percentage from each sales staff members’ compensation. The following day, Tuesday, I sent an email to Ken.” So tell me about — at some point you — the call ended, right? That call in April of 2017.","disfluency_correction, temp","the call ended in April of 2017 . the caller said that due to the losses KCF had, the three of us would pay for the new salesperson .",KCF said it would pay for the new salesperson by taking a fourth percentage or a quarter percentage from each sales staff member’s compensation.
T476,A,Okay. Yes.,,"Okay. Ok. Okay. Okay, okay. Okay... Okay. OK. Okay? Okay. Yes. Okay! Okay.",I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry.
T476,Q,And what happened next between the time you sent the email to Ken and after you got off that phone call?,temp,what happened between the time you sent the email to Ken and after you got off that phone call?,"I sent the email to Ken, and he said he would be back in touch with me."
T476,A,I would assume I tried speaking with both Jed and Eric about it. I don't think I had a conversation with Eric. I can't recall specifically.,uncertainty_hedge,jed and eric don't think I had a conversation with me about it . i can't recall specifically.,I would assume I tried speaking with both Jed and Eric about it. I don't remember specifically.
T476,Q,So you tried to speak with Jed and Eric?,,So you tried to speak with Jed and Eric? Did you have a chance to talk to them?,I tried to speak with Jed and Eric. I tried to speak with Jed and Eric. I tried to speak with Eric.
T476,A,I'm sure I did.,uncertainty_hedge,"i'm sure I did, but i don't know if it was a mistake .",I'm sure I did. I'm sure I did. I'm sure I'm sure I did.
T476,Q,Did you actually speak with Jed?,,"Did you actually speak with Jed? he's a good guy, but he doesn't have a great sense of humor .",Jed was a convicted felon who was sentenced to life in prison for the murder of a young woman.
